ID,NAME,WEBSITE
0014100000MUZxXAAX,"Yum! Brands, Inc.",yum.com
0014100000MUZxYAAX,Parker-Hannifin Corporation,parker.com
0014100000MUZxZAAX,"Whole Foods Market, Inc.",wholefoodsmarket.com
0014100000MUZxaAAH,"Marriott International, Inc.",marriott.com
0014100000MUZxbAAH,"C. H. Robinson Worldwide, Inc.",chrobinson.com
0014100000MUZxcAAH,"L-3 Communications Holdings, Inc.",l-3com.com
0014100000MUZxdAAH,Edison International,edisoninvestor.com
0014100000MUZxeAAH,"Toys ""R"" Us, Inc",toysrusinc.com
0014100000MUZxfAAH,"Nordstrom, Inc.",nordstrom.com
0014100000MUZxgAAH,"Consolidated Edison, Inc.",conedison.com
0014100000MUZxhAAH,"Marsh &amp; McLennan Companies, Inc.",mmc.com
0014100000MUZxiAAH,Texas Instruments Incorporated,ti.com
0014100000MUZxjAAH,Textron Inc.,textron.com
0014100000MUZxkAAH,Tenet Healthcare Corporation,tenethealth.com
0014100000MUZxlAAH,DaVita HealthCare Partners Inc.,davita.com
0014100000MUZxmAAH,CSX Corporation,csx.com
0014100000MUZxnAAH,Lincoln National Corporation,lfg.com
0014100000MUZxoAAH,"Praxair, Inc.",praxair.com
0014100000MUZxpAAH,PPL Corporation,pplweb.com
0014100000MUZxqAAH,"J.C. Penney Company, Inc.",jcpenney.com
0014100000MUZxrAAH,"Peter Kiewit Sons', Inc.",kiewit.com
0014100000MUZxsAAH,Jacobs Engineering Group Inc.,jacobs.com
0014100000MUZxtAAH,Visa Inc.,corporate.visa.com
0014100000MUZxuAAH,H.J. Heinz Company,heinz.com
0014100000MUZxvAAH,"CarMax, Inc.",carmax.com
0014100000MUZxwAAH,V.F. Corporation,vfc.com
0014100000MUZxxAAH,Entergy Corporation,entergy.com
0014100000MUZxyAAH,"Automatic Data Processing, Inc.",adp.com
0014100000MUZxzAAH,"NRG Energy, Inc.",nrgenergy.com
0014100000MUZy0AAH,Guardian Life Ins. Co. of America,guardianlife.com
0014100000MUZy1AAH,Liberty Interactive Corporation,libertyinteractive.com
0014100000MUZy2AAH,Norfolk Southern Corporation,nscorp.com
0014100000MUZy3AAH,"Office Depot, Inc.",officedepot.com
0014100000MUZy4AAH,"Ameriprise Financial, Inc.",ameriprise.com
0014100000MUZy5AAH,"Gilead Sciences, Inc.",gilead.com
0014100000MUZy6AAH,Centene Corporation,centene.com
0014100000MUZy7AAH,Leucadia National Corporation,leucadia.com
0014100000MUZy8AAH,Huntsman Corporation,huntsman.com
0014100000MUZy9AAH,"Health Net, Inc.",healthnet.com
